dataset,method,codec,component,bytes,MiB
world_leaders,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_lp,172000,0.164
world_leaders,Adaptive-Mixed@25%-varint-v2,varint-v2,size_hybrid_m_phim1,5539457,5.283
world_leaders,Adaptive-Mixed@25%-varint-v2,varint-v2,serialized_index_file,16973811,16.187
world_leaders,Adaptive-Mixed@12.5%-raw,raw,size_index,17232808,16.434
world_leaders,Adaptive-Mixed@12.5%-raw,raw,size_r,1556172,1.484
world_leaders,Adaptive-Mixed@12.5%-raw,raw,size_partial_offsets,22940,0.022
world_leaders,Adaptive-Mixed@12.5%-raw,raw,size_partial_offsets_varint,5735,0.005
world_leaders,Adaptive-Mixed@12.5%-raw,raw,size_partial_copy_offsets,22940,0.022
world_leaders,Adaptive-Mixed@12.5%-raw,raw,size_partial_copy_offsets_varint,5735,0.005
world_leaders,Adaptive-Mixed@12.5%-raw,raw,size_partial_literal_offsets,22940,0.022
world_leaders,Adaptive-Mixed@12.5%-raw,raw,size_partial_literal_offsets_varint,5735,0.005
world_leaders,Adaptive-Mixed@12.5%-raw,raw,size_partial_block_ids,22936,0.022
world_leaders,Adaptive-Mixed@12.5%-raw,raw,size_partial_block_ids_varint,5778,0.006
world_leaders,Adaptive-Mixed@12.5%-raw,raw,size_partial_pt,67373,0.064
world_leaders,Adaptive-Mixed@12.5%-raw,raw,size_partial_pt_bitvector,8422,0.008
world_leaders,Adaptive-Mixed@12.5%-raw,raw,size_partial_cpl,94194,0.090
world_leaders,Adaptive-Mixed@12.5%-raw,raw,size_partial_cpl_varint,58021,0.055
world_leaders,Adaptive-Mixed@12.5%-raw,raw,size_partial_sr,188388,0.180
world_leaders,Adaptive-Mixed@12.5%-raw,raw,size_partial_sr_varint,125349,0.120
world_leaders,Adaptive-Mixed@12.5%-raw,raw,size_partial_lp,81104,0.077
world_leaders,Adaptive-Mixed@12.5%-raw,raw,size_hybrid_m_phim1,5539457,5.283
world_leaders,Adaptive-Mixed@12.5%-raw,raw,serialized_index_file,16741040,15.965
world_leaders,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_index,17232808,16.434
world_leaders,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_r,1556172,1.484
world_leaders,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_offsets,22940,0.022
world_leaders,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_offsets_varint,5735,0.005
world_leaders,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_copy_offsets,22940,0.022
world_leaders,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_copy_offsets_varint,5735,0.005
world_leaders,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_literal_offsets,22940,0.022
world_leaders,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_literal_offsets_varint,5735,0.005
world_leaders,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_block_ids,22936,0.022
world_leaders,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_block_ids_varint,5778,0.006
world_leaders,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_pt,67373,0.064
world_leaders,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_pt_bitvector,8422,0.008
world_leaders,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_cpl,94194,0.090
world_leaders,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_cpl_varint,58021,0.055
world_leaders,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_sr,188388,0.180
world_leaders,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_sr_varint,125349,0.120
world_leaders,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_lp,81104,0.077
world_leaders,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_hybrid_m_phim1,5539457,5.283
world_leaders,Adaptive-Mixed@12.5%-varint-v2,varint-v2,serialized_index_file,16514166,15.749
DNA,Move-r,raw,size_index,28378900,27.064
DNA,Move-r,raw,serialized_index_file,30318200,28.914
DNA,Move-r-RLZ,raw,size_index,200564699,191.273
DNA,Move-r-RLZ,raw,size_r,26771928,25.532
DNA,Move-r-RLZ,raw,serialized_index_file,202503776,193.123
DNA,Move-r-LZEnd,raw,size_index,56151245,53.550
DNA,Move-r-LZEnd,raw,serialized_index_file,58089602,55.399
DNA,Adaptive-Mixed@25%-raw,raw,size_index,144573291,137.876
DNA,Adaptive-Mixed@25%-raw,raw,size_r,14467016,13.797
DNA,Adaptive-Mixed@25%-raw,raw,size_partial_offsets,614400,0.586
DNA,Adaptive-Mixed@25%-raw,raw,size_partial_offsets_varint,154060,0.147
DNA,Adaptive-Mixed@25%-raw,raw,size_partial_copy_offsets,614400,0.586
DNA,Adaptive-Mixed@25%-raw,raw,size_partial_copy_offsets_varint,153600,0.146
DNA,Adaptive-Mixed@25%-raw,raw,size_partial_literal_offsets,614400,0.586
DNA,Adaptive-Mixed@25%-raw,raw,size_partial_literal_offsets_varint,153600,0.146
DNA,Adaptive-Mixed@25%-raw,raw,size_partial_block_ids,614396,0.586
DNA,Adaptive-Mixed@25%-raw,raw,size_partial_block_ids_varint,153613,0.146
DNA,Adaptive-Mixed@25%-raw,raw,size_partial_pt,7552776,7.203
DNA,Adaptive-Mixed@25%-raw,raw,size_partial_pt_bitvector,944097,0.900
DNA,Adaptive-Mixed@25%-raw,raw,size_partial_cpl,12414768,11.840
DNA,Adaptive-Mixed@25%-raw,raw,size_partial_cpl_varint,6352011,6.058
DNA,Adaptive-Mixed@25%-raw,raw,size_partial_sr,24829536,23.679
DNA,Adaptive-Mixed@25%-raw,raw,size_partial_sr_varint,20220777,19.284
DNA,Adaptive-Mixed@25%-raw,raw,size_partial_lp,5381568,5.132
DNA,Adaptive-Mixed@25%-raw,raw,size_hybrid_m_phim1,11587736,11.051
DNA,Adaptive-Mixed@25%-raw,raw,serialized_index_file,98711390,94.139
DNA,Adaptive-Mixed@25%-varint-v2,varint-v2,size_index,144573291,137.876
DNA,Adaptive-Mixed@25%-varint-v2,varint-v2,size_r,14467016,13.797
DNA,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_offsets,614400,0.586
DNA,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_offsets_varint,154060,0.147
DNA,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_copy_offsets,614400,0.586
DNA,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_copy_offsets_varint,153600,0.146
DNA,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_literal_offsets,614400,0.586
DNA,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_literal_offsets_varint,153600,0.146
DNA,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_block_ids,614396,0.586
DNA,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_block_ids_varint,153613,0.146
DNA,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_pt,7552776,7.203
DNA,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_pt_bitvector,944097,0.900
DNA,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_cpl,12414768,11.840
DNA,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_cpl_varint,6352011,6.058
DNA,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_sr,24829536,23.679
DNA,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_sr_varint,20220777,19.284
DNA,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_lp,5381568,5.132
DNA,Adaptive-Mixed@25%-varint-v2,varint-v2,size_hybrid_m_phim1,11587736,11.051
DNA,Adaptive-Mixed@25%-varint-v2,varint-v2,serialized_index_file,79588534,75.902
DNA,Adaptive-Mixed@12.5%-raw,raw,size_index,118492113,113.003
DNA,Adaptive-Mixed@12.5%-raw,raw,size_r,14196612,13.539
DNA,Adaptive-Mixed@12.5%-raw,raw,size_partial_offsets,307204,0.293
DNA,Adaptive-Mixed@12.5%-raw,raw,size_partial_offsets_varint,77100,0.074
DNA,Adaptive-Mixed@12.5%-raw,raw,size_partial_copy_offsets,307204,0.293
DNA,Adaptive-Mixed@12.5%-raw,raw,size_partial_copy_offsets_varint,76801,0.073
DNA,Adaptive-Mixed@12.5%-raw,raw,size_partial_literal_offsets,307204,0.293
DNA,Adaptive-Mixed@12.5%-raw,raw,size_partial_literal_offsets_varint,76801,0.073
DNA,Adaptive-Mixed@12.5%-raw,raw,size_partial_block_ids,307200,0.293
DNA,Adaptive-Mixed@12.5%-raw,raw,size_partial_block_ids_varint,76844,0.073
DNA,Adaptive-Mixed@12.5%-raw,raw,size_partial_pt,3841544,3.664
DNA,Adaptive-Mixed@12.5%-raw,raw,size_partial_pt_bitvector,480193,0.458
DNA,Adaptive-Mixed@12.5%-raw,raw,size_partial_cpl,6294754,6.003
DNA,Adaptive-Mixed@12.5%-raw,raw,size_partial_cpl_varint,3219369,3.070
DNA,Adaptive-Mixed@12.5%-raw,raw,size_partial_sr,12589508,12.006
DNA,Adaptive-Mixed@12.5%-raw,raw,size_partial_sr_varint,10238848,9.765
DNA,Adaptive-Mixed@12.5%-raw,raw,size_partial_lp,2776668,2.648
DNA,Adaptive-Mixed@12.5%-raw,raw,size_hybrid_m_phim1,11587736,11.051
DNA,Adaptive-Mixed@12.5%-raw,raw,serialized_index_file,72536028,69.176
DNA,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_index,118492113,113.003
DNA,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_r,14196612,13.539
DNA,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_offsets,307204,0.293
DNA,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_offsets_varint,77100,0.074
DNA,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_copy_offsets,307204,0.293
DNA,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_copy_offsets_varint,76801,0.073
DNA,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_literal_offsets,307204,0.293
DNA,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_literal_offsets_varint,76801,0.073
DNA,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_block_ids,307200,0.293
DNA,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_block_ids_varint,76844,0.073
DNA,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_pt,3841544,3.664
DNA,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_pt_bitvector,480193,0.458
DNA,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_cpl,6294754,6.003
DNA,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_cpl_varint,3219369,3.070
DNA,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_sr,12589508,12.006
DNA,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_sr_varint,10238848,9.765
DNA,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_lp,2776668,2.648
DNA,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_hybrid_m_phim1,11587736,11.051
DNA,Adaptive-Mixed@12.5%-varint-v2,varint-v2,serialized_index_file,62827428,59.917
