dataset,partial_rlzsa,total_phrases,total_copy_phrases,distinct_sr_values,distinct_cpl_values,top1_sr_frequency,top1_cpl_frequency,sr_entropy,cpl_entropy
boost,1,326604,251994,44157,1023,44984,64700,11.036,8.16539
einstein.en.txt,1,724039,426242,114903,1023,3185,17645,14.3064,8.97799
SARS-Cov-2_40,1,219224,146376,28516,1009,307,9685,13.7888,7.11666
world_leaders,1,220864,140831,25497,1005,78,6318,13.6459,7.47672
DNA,1,7631812,6269903,403912,1023,193,418820,17.6761,5.81919
candida_auris,1,12259761,4234924,2856247,1023,25,300048,21.1956,4.8004
english_200MB,1,9486222,2603890,2281208,1022,1099,636655,20.9624,4.15585
