dataset,budget,method,codec,component,bytes,MiB,relative_to_r_rlzsa_percent
einstein.en.txt,25,Vr-RLZSA-v2,v2,offsets,342774,0.327,25.02
einstein.en.txt,25,Vr-RLZSA-v2,v2,PT,103528,0.099,12.50
einstein.en.txt,25,Vr-RLZSA-v2,v2,CPL,665234,0.634,77.93
einstein.en.txt,25,Vr-RLZSA-v2,v2,LP,1605612,1.531,100.00
einstein.en.txt,25,Vr-RLZSA-v2,v2,reference,5577828,5.319,100.00
einstein.en.txt,25,Vr-RLZSA-v2,v2,Phi_fallback,2786429,2.657,100.00
einstein.en.txt,25,Vr-RLZSA-v2,v2,Other(serialized),4599982,4.387,
einstein.en.txt,12.5,r-RLZSA,raw,block_ids,228336,0.218,100.00
einstein.en.txt,12.5,r-RLZSA,raw,SR,848736,0.809,100.00
einstein.en.txt,12.5,r-RLZSA,raw,offsets,685020,0.653,100.00
einstein.en.txt,12.5,r-RLZSA,raw,PT,364979,0.348,100.00
einstein.en.txt,12.5,r-RLZSA,raw,CPL,424368,0.405,100.00
einstein.en.txt,12.5,r-RLZSA,raw,LP,611180,0.583,100.00
einstein.en.txt,12.5,r-RLZSA,raw,reference,5429012,5.178,100.00
einstein.en.txt,12.5,r-RLZSA,raw,Phi_fallback,2786429,2.657,100.00
einstein.en.txt,12.5,r-RLZSA,raw,Other(serialized),4599920,4.387,
einstein.en.txt,12.5,Vr-RLZSA-v1,v1,block_ids,57853,0.055,25.34
einstein.en.txt,12.5,Vr-RLZSA-v1,v1,SR,563191,0.537,66.36
einstein.en.txt,12.5,Vr-RLZSA-v1,v1,offsets,685020,0.653,100.00
einstein.en.txt,12.5,Vr-RLZSA-v1,v1,PT,364979,0.348,100.00
einstein.en.txt,12.5,Vr-RLZSA-v1,v1,CPL,424368,0.405,100.00
einstein.en.txt,12.5,Vr-RLZSA-v1,v1,LP,611180,0.583,100.00
einstein.en.txt,12.5,Vr-RLZSA-v1,v1,reference,5429012,5.178,100.00
einstein.en.txt,12.5,Vr-RLZSA-v1,v1,Phi_fallback,2786429,2.657,100.00
einstein.en.txt,12.5,Vr-RLZSA-v1,v1,Other(serialized),4599942,4.387,
einstein.en.txt,12.5,Vr-RLZSA-v2,v2,block_ids,57853,0.055,25.34
einstein.en.txt,12.5,Vr-RLZSA-v2,v2,SR,563191,0.537,66.36
einstein.en.txt,12.5,Vr-RLZSA-v2,v2,offsets,171280,0.163,25.00
einstein.en.txt,12.5,Vr-RLZSA-v2,v2,PT,45623,0.044,12.50
einstein.en.txt,12.5,Vr-RLZSA-v2,v2,CPL,330528,0.315,77.89
einstein.en.txt,12.5,Vr-RLZSA-v2,v2,LP,611180,0.583,100.00
einstein.en.txt,12.5,Vr-RLZSA-v2,v2,reference,5429012,5.178,100.00
einstein.en.txt,12.5,Vr-RLZSA-v2,v2,Phi_fallback,2786429,2.657,100.00
einstein.en.txt,12.5,Vr-RLZSA-v2,v2,Other(serialized),4599982,4.387,
SARS-Cov-2_40,25,r-RLZSA,raw,block_ids,40964,0.039,100.00
SARS-Cov-2_40,25,r-RLZSA,raw,SR,585044,0.558,100.00
SARS-Cov-2_40,25,r-RLZSA,raw,offsets,122904,0.117,100.00
SARS-Cov-2_40,25,r-RLZSA,raw,PT,240309,0.229,100.00
SARS-Cov-2_40,25,r-RLZSA,raw,CPL,292522,0.279,100.00
SARS-Cov-2_40,25,r-RLZSA,raw,LP,376192,0.359,100.00
SARS-Cov-2_40,25,r-RLZSA,raw,reference,2646516,2.524,100.00
SARS-Cov-2_40,25,r-RLZSA,raw,Phi_fallback,1322759,1.261,100.00
